Rank_1990-2025,Rank_1954-1989,Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990-2025_total,Share of global arms imports,1954-1989_Total,Percentage change from 1954-1989 to 1990-2025
31,17,Netherlands,273,322,237,140,205,84,203,126,269,278,123,164,247,128,130,86,304,221,146,262,188,126,205,505,8,58,73,33,140,494,575,512,733,372,360,8329,0.90%,22242,-63%
32,2,Germany,711,690,679,529,417,222,244,60,618,129,113,133,71,63,237,199,406,46,278,330,306,82,130,113,95,95,55,43,14,38,101,235,284,200,239,8202,0.90%,49291,-83%
33,41,Brazil,136,160,98,64,306,266,547,476,198,308,86,573,221,110,85,223,178,188,178,135,256,239,317,225,212,216,117,100,265,132,140,244,469,185,435,8089,0.90%,9051,-11%
34,55,Chile,135,104,170,85,82,331,164,282,88,206,230,60,74,187,64,446,1097,659,395,329,474,326,61,55,135,135,70,49,74,16,304,66,207,9,14,7181,0.80%,4795,50%
35,54,Morocco,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,335,1283,1005,62,572,47,287,605,462,48,16,51,509,472,23,7180,0.80%,5658,27%
36,42,Afghanistan,1690,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,632,518,253,323,131,171,236,313,381,231,65,,,,7130,0.80%,8679,-18%
37,61,Malaysia,,33,13,13,308,828,32,553,39,721,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,195,93,68,52,133,71,7,,6917,0.80%,3871,79%
38,92,Myanmar,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,179,206,153,80,65,62,668,398,250,110,257,281,207,200,204,217,67,229,128,222,6643,0.70%,678,880%
39,65,Finland,88,65,442,406,234,195,552,397,560,768,472,7,15,242,67,93,132,140,134,37,44,60,87,254,182,268,112,47,82,86,114,38,30,37,64,6549,0.70%,2853,130%
40,50,Venezuela,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,767,738,366,211,600,693,995,180,124,95,,14,,79,,,98,,6432,0.70%,6468,-0.50%
41,77,Bangladesh,199,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,80,12,,36,117,183,648,207,640,451,334,161,716,70,55,323,69,75,5801,0.60%,1381,320%
42,72,Oman,60,,,55,145,278,285,157,22,,121,33,40,37,49,178,296,12,72,95,31,21,127,492,719,152,422,757,282,88,85,4,5,4,,5121,0.60%,2053,149%
43,7,Syria,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,326,253,420,485,529,496,7,16,18,52,199,104,80,7,,,,5006,0.60%,35478,-86%
